,Reporting_Year,NTA__,boro___x,NO_count,unit_value_max_max_x,unit_value_min_min_x,unit_value_total_sum_x,unit_value_mean_x,YES_count,unit_value_max_max_y,unit_value_min_min_y,unit_value_total_sum_y,unit_value_mean_y,count_all,vacant_ratio
292,2019 and 2020,QN38,4,157,325.5,27.68817204,14230.1131,90.63766306,16,174.5826923,63.43207354,1478.779259,92.42370369,173,0.092485549
293,2020 and 2021,QN38,4,127,325.5,27.68817204,11082.23769,87.26171407,23,368.6538462,41.21819584,2334.786302,101.5124479,150,0.153333333
294,2019 and 2020,QN41,4,167,366.6796875,40.35696822,24533.07441,146.9046372,5,263.4308886,129.5916392,1146.950013,229.3900027,172,0.029069767
295,2020 and 2021,QN41,4,181,366.6796875,44.55827842,25376.20266,140.2000147,13,263.4308886,83.45930233,2264.250032,174.1730794,194,0.067010309
296,2019 and 2020,QN42,4,105,347.7720066,59.95945946,12776.9954,121.6856705,12,155.1698813,120.7523511,1630.373457,135.8644547,117,0.102564103
297,2020 and 2021,QN42,4,122,163.0414459,59.95945946,14828.64336,121.5462571,18,347.7720066,106.3159167,2813.249245,156.2916247,140,0.128571429
298,2020 and 2021,QN43,4,85,290,57.6,9781.689642,115.0787017,4,109.064228,66.51098901,370.1879287,92.54698218,89,0.04494382
299,2019 and 2020,QN43,4,99,325.862069,47.31617647,10947.18796,110.5776562,3,159,66.51098901,306.510989,102.1703297,102,0.029411765
300,2020 and 2021,QN44,4,109,231.9082783,32.90513834,9705.183355,89.0383794,11,115.0714286,44.89627563,913.5280101,83.04800092,120,0.091666667
301,2019 and 2020,QN44,4,116,231.9082783,44.89627563,10283.0161,88.6466905,8,200.0510986,44.89627563,894.9334022,111.8666753,124,0.064516129
302,2020 and 2021,QN45,4,209,381,25.60714286,20513.18464,98.1492088,40,221.8431122,28.01052632,3596.809139,89.92022849,249,0.16064257
303,2019 and 2020,QN45,4,207,381,43.68881119,19968.44196,96.4659032,36,228,20.89630225,3197.900389,88.83056635,243,0.148148148
304,2019 and 2020,QN46,4,448,483.1196581,21.11898831,48188.66958,107.5639946,28,270.3392735,25.10869565,2532.917671,90.46134541,476,0.058823529
305,2020 and 2021,QN46,4,434,488.0769231,43.85992462,46947.02318,108.1728645,48,270.3392735,27.92307692,4202.286299,87.54763123,482,0.099585062
306,2019 and 2020,QN47,4,126,549.7329773,31.51023559,16416.34186,130.2884274,8,202.331844,59.84437633,1091.662527,136.4578159,134,0.059701493
307,2020 and 2021,QN47,4,115,549.7329773,34.58683346,15149.27236,131.7328031,15,202.331844,34.58683346,2276.886043,151.7924029,130,0.115384615
308,2020 and 2021,QN48,4,143,416.2714636,25.05,14115.76121,98.71161688,4,80.23005032,27.33924612,253.7395092,63.4348773,147,0.027210884
309,2019 and 2020,QN48,4,124,416.2714636,42.5,11854.00363,95.59680343,5,104.7070241,65.80645161,382.4901401,76.49802803,129,0.03875969
310,2019 and 2020,QN49,4,224,428.4466019,28.85025682,18114.39799,80.86784816,19,175.9821429,36.01560243,1409.475345,74.18291289,243,0.0781893
311,2020 and 2021,QN49,4,201,428.4466019,28.85025682,16735.73293,83.26235288,17,128.3698209,34.22413793,1131.664555,66.56850325,218,0.077981651
312,2019 and 2020,QN50,4,147,505.4508197,22.21333333,16985.41027,115.5470087,7,385.6606275,57.80715397,1097.654324,156.8077606,154,0.045454545
313,2020 and 2021,QN50,4,154,505.4508197,28.62668919,17881.04263,116.1106665,11,385.6606275,39.10745743,1450.141931,131.8310846,165,0.066666667
314,2019 and 2020,QN51,4,418,531.2109375,36.3426418,42749.0776,102.2705206,30,220.5882353,25.02008032,2502.673437,83.42244789,448,0.066964286
315,2020 and 2021,QN51,4,389,531.2109375,27.06666667,40497.98968,104.1079426,47,326.75,25.95,4688.358963,99.75231836,436,0.107798165
316,2020 and 2021,QN52,4,120,380.5851064,30.691832,11710.20379,97.58503161,20,149.5423609,24.85,1568.281144,78.41405722,140,0.142857143
317,2019 and 2020,QN52,4,137,380.5851064,30.691832,12429.55436,90.72667414,24,149.5423609,29.75088968,2082.957975,86.78991564,161,0.149068323
318,2019 and 2020,QN53,4,235,223.0333333,16.97881066,16530.63631,70.34313322,41,165,17.61574074,2548.888057,62.16800139,276,0.148550725
319,2020 and 2021,QN53,4,241,223.0333333,16.14413467,17398.11016,72.19132848,30,95.75,17.96,1508.602024,50.28673413,271,0.110701107
320,2020 and 2021,QN54,4,301,274.0455665,14.95909091,20853.17208,69.27964145,25,144.0119674,8.5,1647.797097,65.91188388,326,0.076687117
321,2019 and 2020,QN54,4,278,280.6875,15.15,20225.25726,72.75272397,32,144.0119674,8.94,2252.581107,70.39315958,310,0.103225806
322,2020 and 2021,QN55,4,392,245.2040816,15.38497763,32378.65397,82.59860707,32,151.1538462,17.95,2220.825494,69.40079668,424,0.075471698
323,2019 and 2020,QN55,4,381,252.9,18.21428571,31822.47119,83.52354644,31,151.1538462,17.89795918,1945.57016,62.76032773,412,0.075242718
324,2020 and 2021,QN56,4,136,329.228371,19.25,11895.13103,87.46419877,13,132.9967742,20.81567797,942.985706,72.537362,149,0.087248322
325,2019 and 2020,QN56,4,97,329.228371,35.40733198,8838.059679,91.11401731,9,132.9967742,18.59793814,499.2290166,55.46989073,106,0.08490566
326,2019 and 2020,QN57,4,146,459.9,19.41428571,15658.10724,107.2473099,17,114.9253731,16.57338262,1491.241385,87.72008146,163,0.104294479
327,2020 and 2021,QN57,4,147,459.9,19.41428571,15634.63225,106.3580425,17,123.5383225,34.39171598,1560.472807,91.79251809,164,0.103658537
328,2019 and 2020,QN60,4,110,176.2533937,20.68421053,8476.32544,77.057504,8,100.2647658,53.97157089,586.6465823,73.33082279,118,0.06779661
329,2020 and 2021,QN60,4,101,176.2533937,29.99557587,7684.198028,76.08116859,9,100.05,39.10714286,586.4695149,65.16327944,110,0.081818182
330,2019 and 2020,QN61,4,608,466.281407,17.93571429,62832.3094,103.3426141,66,266.4,11.14547038,6031.083731,91.38005653,674,0.097922849
331,2020 and 2021,QN61,4,572,466.281407,18.0483871,56180.79786,98.21817808,62,264.6818182,17.49264706,4905.303442,79.11779746,634,0.097791798
332,2020 and 2021,QN62,4,53,479.4428571,42.07207207,6142.518425,115.8965741,7,97.99468085,15.09362587,541.4607105,77.35153006,60,0.116666667
333,2019 and 2020,QN62,4,64,479.4428571,42.07207207,7087.625385,110.7441466,6,183.6,15.09362587,572.5092536,95.41820894,70,0.085714286
334,2019 and 2020,QN63,4,417,320.4225352,26.20157819,34915.48897,83.73018937,22,118.0311231,39.32307692,1426.353003,64.8342274,439,0.050113895
335,2020 and 2021,QN63,4,459,320.4225352,26.23906706,39775.41063,86.65666804,14,149.9886938,42.8025,1062.774482,75.91246299,473,0.029598309
336,2020 and 2021,QN66,4,142,288.1136951,16.84285714,11012.80722,77.55498041,10,105.447142,65.95890411,777.5837323,77.75837323,152,0.065789474
337,2019 and 2020,QN66,4,126,137.027027,34.3125,9333.949414,74.0789636,7,81.79054054,53.38421053,424.5102277,60.64431825,133,0.052631579
